v1	V(n002)	V(n003)
Step Information: Ln=100n Rnw=100n  (Run: 1/60)
0.000000000000000e+000	0.000000e+000	3.300000e+000
3.300000000000000e-003	3.300000e-003	3.299999e+000
6.600000000000001e-003	6.600000e-003	3.299999e+000
9.900000000000001e-003	9.900000e-003	3.299997e+000
1.320000000000000e-002	1.320000e-002	3.299995e+000
1.650000000000000e-002	1.650000e-002	3.299992e+000
1.980000000000000e-002	1.980000e-002	3.299988e+000
2.310000000000000e-002	2.310000e-002	3.299984e+000
2.640000000000000e-002	2.640000e-002	3.299978e+000
2.970000000000000e-002	2.970000e-002	3.299973e+000
3.300000000000000e-002	3.300000e-002	3.299967e+000
3.630000000000000e-002	3.630000e-002	3.299959e+000
3.960000000000000e-002	3.960000e-002	3.299952e+000
4.289999999999999e-002	4.290000e-002	3.299943e+000
4.619999999999999e-002	4.620000e-002	3.299934e+000
4.949999999999999e-002	4.950000e-002	3.299925e+000
5.279999999999999e-002	5.280000e-002	3.299914e+000
5.609999999999998e-002	5.610000e-002	3.299903e+000
5.939999999999998e-002	5.940000e-002	3.299891e+000
6.269999999999998e-002	6.270000e-002	3.299878e+000
6.599999999999998e-002	6.600000e-002	3.299865e+000
6.929999999999997e-002	6.930000e-002	3.299851e+000
7.259999999999997e-002	7.260000e-002	3.299837e+000
7.589999999999997e-002	7.590000e-002	3.299821e+000
7.919999999999997e-002	7.920000e-002	3.299805e+000
8.249999999999996e-002	8.250000e-002	3.299788e+000
8.579999999999996e-002	8.580000e-002	3.299771e+000
8.909999999999996e-002	8.910000e-002	3.299753e+000
9.239999999999995e-002	9.240000e-002	3.299734e+000
9.569999999999995e-002	9.570000e-002	3.299714e+000
9.899999999999995e-002	9.900000e-002	3.299694e+000
1.023000000000000e-001	1.023000e-001	3.299673e+000
1.055999999999999e-001	1.056000e-001	3.299651e+000
1.088999999999999e-001	1.089000e-001	3.299628e+000
1.121999999999999e-001	1.122000e-001	3.299605e+000
1.154999999999999e-001	1.155000e-001	3.299581e+000
1.187999999999999e-001	1.188000e-001	3.299556e+000
1.220999999999999e-001	1.221000e-001	3.299531e+000
1.253999999999999e-001	1.254000e-001	3.299505e+000
1.286999999999999e-001	1.287000e-001	3.299478e+000
1.319999999999999e-001	1.320000e-001	3.299450e+000
1.352999999999999e-001	1.353000e-001	3.299421e+000
1.385999999999999e-001	1.386000e-001	3.299392e+000
1.418999999999999e-001	1.419000e-001	3.299362e+000
1.451999999999999e-001	1.452000e-001	3.299331e+000
1.484999999999999e-001	1.485000e-001	3.299300e+000
1.517999999999999e-001	1.518000e-001	3.299268e+000
1.550999999999999e-001	1.551000e-001	3.299235e+000
1.583999999999999e-001	1.584000e-001	3.299201e+000
1.616999999999999e-001	1.617000e-001	3.299167e+000
1.649999999999999e-001	1.650000e-001	3.299131e+000
1.682999999999999e-001	1.683000e-001	3.299095e+000
1.715999999999999e-001	1.716000e-001	3.299058e+000
1.748999999999999e-001	1.749000e-001	3.299021e+000
1.781999999999999e-001	1.782000e-001	3.298983e+000
1.814999999999999e-001	1.815000e-001	3.298943e+000
1.847999999999999e-001	1.848000e-001	3.298903e+000
1.880999999999999e-001	1.881000e-001	3.298863e+000
1.913999999999999e-001	1.914000e-001	3.298821e+000
1.946999999999999e-001	1.947000e-001	3.298779e+000
1.979999999999999e-001	1.980000e-001	3.298736e+000
2.012999999999999e-001	2.013000e-001	3.298692e+000
2.045999999999999e-001	2.046000e-001	3.298647e+000
2.078999999999999e-001	2.079000e-001	3.298602e+000
2.111999999999999e-001	2.112000e-001	3.298555e+000
2.144999999999999e-001	2.145000e-001	3.298508e+000
2.177999999999999e-001	2.178000e-001	3.298460e+000
2.210999999999999e-001	2.211000e-001	3.298412e+000
2.243999999999999e-001	2.244000e-001	3.298362e+000
2.276999999999999e-001	2.277000e-001	3.298312e+000
2.309999999999998e-001	2.310000e-001	3.298261e+000
2.342999999999998e-001	2.343000e-001	3.298209e+000
2.375999999999998e-001	2.376000e-001	3.298156e+000
2.408999999999998e-001	2.409000e-001	3.298102e+000
2.441999999999998e-001	2.442000e-001	3.298048e+000
2.474999999999998e-001	2.475000e-001	3.297992e+000
2.507999999999999e-001	2.508000e-001	3.297936e+000
2.540999999999999e-001	2.541000e-001	3.297879e+000
2.573999999999999e-001	2.574000e-001	3.297822e+000
2.606999999999999e-001	2.607000e-001	3.297763e+000
2.640000000000000e-001	2.640000e-001	3.297703e+000
2.673000000000000e-001	2.673000e-001	3.297643e+000
2.706000000000000e-001	2.706000e-001	3.297582e+000
2.739000000000000e-001	2.739000e-001	3.297520e+000
2.772000000000001e-001	2.772000e-001	3.297457e+000
2.805000000000001e-001	2.805000e-001	3.297393e+000
2.838000000000001e-001	2.838000e-001	3.297328e+000
2.871000000000001e-001	2.871000e-001	3.297263e+000
2.904000000000002e-001	2.904000e-001	3.297196e+000
2.937000000000002e-001	2.937000e-001	3.297129e+000
2.970000000000002e-001	2.970000e-001	3.297061e+000
3.003000000000002e-001	3.003000e-001	3.296992e+000
3.036000000000003e-001	3.036000e-001	3.296922e+000
3.069000000000003e-001	3.069000e-001	3.296851e+000
3.102000000000003e-001	3.102000e-001	3.296780e+000
3.135000000000003e-001	3.135000e-001	3.296707e+000
3.168000000000004e-001	3.168000e-001	3.296634e+000
3.201000000000004e-001	3.201000e-001	3.296559e+000
3.234000000000004e-001	3.234000e-001	3.296484e+000
3.267000000000004e-001	3.267000e-001	3.296408e+000
3.300000000000005e-001	3.300000e-001	3.296331e+000
3.333000000000005e-001	3.333000e-001	3.296253e+000
3.366000000000005e-001	3.366000e-001	3.296174e+000
3.399000000000005e-001	3.399000e-001	3.296094e+000
3.432000000000006e-001	3.432000e-001	3.296014e+000
3.465000000000006e-001	3.465000e-001	3.295932e+000
3.498000000000006e-001	3.498000e-001	3.295850e+000
3.531000000000006e-001	3.531000e-001	3.295766e+000
3.564000000000007e-001	3.564000e-001	3.295681e+000
3.597000000000007e-001	3.597000e-001	3.295596e+000
3.630000000000007e-001	3.630000e-001	3.295510e+000
3.663000000000007e-001	3.663000e-001	3.295423e+000
3.696000000000008e-001	3.696000e-001	3.295335e+000
3.729000000000008e-001	3.729000e-001	3.295245e+000
3.762000000000008e-001	3.762000e-001	3.295155e+000
3.795000000000008e-001	3.795000e-001	3.295064e+000
3.828000000000009e-001	3.828000e-001	3.294972e+000
3.861000000000009e-001	3.861000e-001	3.294879e+000
3.894000000000009e-001	3.894000e-001	3.294785e+000
3.927000000000009e-001	3.927000e-001	3.294691e+000
3.960000000000010e-001	3.960000e-001	3.294595e+000
3.993000000000010e-001	3.993000e-001	3.294498e+000
4.026000000000010e-001	4.026000e-001	3.294400e+000
4.059000000000010e-001	4.059000e-001	3.294302e+000
4.092000000000011e-001	4.092000e-001	3.294202e+000
4.125000000000011e-001	4.125000e-001	3.294101e+000
4.158000000000011e-001	4.158000e-001	3.293999e+000
4.191000000000011e-001	4.191000e-001	3.293896e+000
4.224000000000012e-001	4.224000e-001	3.293793e+000
4.257000000000012e-001	4.257000e-001	3.293688e+000
4.290000000000012e-001	4.290000e-001	3.293582e+000
4.323000000000012e-001	4.323000e-001	3.293476e+000
4.356000000000013e-001	4.356000e-001	3.293368e+000
4.389000000000013e-001	4.389000e-001	3.293259e+000
4.422000000000013e-001	4.422000e-001	3.293149e+000
4.455000000000013e-001	4.455000e-001	3.293039e+000
4.488000000000014e-001	4.488000e-001	3.292927e+000
4.521000000000014e-001	4.521000e-001	3.292814e+000
4.554000000000014e-001	4.554000e-001	3.292700e+000
4.587000000000014e-001	4.587000e-001	3.292585e+000
4.620000000000015e-001	4.620000e-001	3.292469e+000
4.653000000000015e-001	4.653000e-001	3.292352e+000
4.686000000000015e-001	4.686000e-001	3.292234e+000
4.719000000000015e-001	4.719000e-001	3.292115e+000
4.752000000000016e-001	4.752000e-001	3.291995e+000
4.785000000000016e-001	4.785000e-001	3.291873e+000
4.818000000000016e-001	4.818000e-001	3.291751e+000
4.851000000000016e-001	4.851000e-001	3.291628e+000
4.884000000000017e-001	4.884000e-001	3.291503e+000
4.917000000000017e-001	4.917000e-001	3.291378e+000
4.950000000000017e-001	4.950000e-001	3.291251e+000
4.983000000000017e-001	4.983000e-001	3.291123e+000
5.016000000000017e-001	5.016000e-001	3.290994e+000
5.049000000000017e-001	5.049000e-001	3.290864e+000
5.082000000000017e-001	5.082000e-001	3.290734e+000
5.115000000000016e-001	5.115000e-001	3.290601e+000
5.148000000000016e-001	5.148000e-001	3.290468e+000
5.181000000000016e-001	5.181000e-001	3.290334e+000
5.214000000000015e-001	5.214000e-001	3.290199e+000
5.247000000000015e-001	5.247000e-001	3.290062e+000
5.280000000000015e-001	5.280000e-001	3.289924e+000
5.313000000000014e-001	5.313000e-001	3.289786e+000
5.346000000000014e-001	5.346000e-001	3.289646e+000
5.379000000000014e-001	5.379000e-001	3.289505e+000
5.412000000000014e-001	5.412000e-001	3.289362e+000
5.445000000000013e-001	5.445000e-001	3.289219e+000
5.478000000000013e-001	5.478000e-001	3.289075e+000
5.511000000000013e-001	5.511000e-001	3.288929e+000
5.544000000000012e-001	5.544000e-001	3.288782e+000
5.577000000000012e-001	5.577000e-001	3.288634e+000
5.610000000000012e-001	5.610000e-001	3.288485e+000
5.643000000000011e-001	5.643000e-001	3.288335e+000
5.676000000000011e-001	5.676000e-001	3.288184e+000
5.709000000000011e-001	5.709000e-001	3.288031e+000
5.742000000000010e-001	5.742000e-001	3.287877e+000
5.775000000000010e-001	5.775000e-001	3.287722e+000
5.808000000000010e-001	5.808000e-001	3.287566e+000
5.841000000000010e-001	5.841000e-001	3.287409e+000
5.874000000000009e-001	5.874000e-001	3.287250e+000
5.907000000000009e-001	5.907000e-001	3.287090e+000
5.940000000000009e-001	5.940000e-001	3.286929e+000
5.973000000000008e-001	5.973000e-001	3.286767e+000
6.006000000000008e-001	6.006000e-001	3.286604e+000
6.039000000000008e-001	6.039000e-001	3.286439e+000
6.072000000000007e-001	6.072000e-001	3.286273e+000
